m_id,venue,t1_id,t2_id,wintype,city,man_of_the_match_id,match_winner,season_id
829794,"MA Chidambaram Stadium, Chepauk",3,7,by wickets,Chennai,400,7,8
829796,Eden Gardens,1,4,by wickets,Kolkata,334,1,8
829798,Shaheed Veer Narayan Singh International Stadium,6,11,by runs,Raipur,163,11,8
829800,Wankhede Stadium,7,2,by runs,Mumbai,110,2,8
829802,"MA Chidambaram Stadium, Chepauk",3,5,by runs,Chennai,35,3,8
829804,"Rajiv Gandhi International Stadium, Uppal",11,4,by runs,Hyderabad,187,11,8
829806,Shaheed Veer Narayan Singh International Stadium,6,3,by wickets,Raipur,15,6,8
829808,"Punjab Cricket Association Stadium, Mohali",4,2,by runs,Chandigarh,374,4,8
829810,Wankhede Stadium,7,1,by runs,Mumbai,400,7,8
829812,"Rajiv Gandhi International Stadium, Uppal",11,2,by wickets,Hyderabad,8,2,8
829814,"Punjab Cricket Association Stadium, Mohali",4,3,by wickets,Chandigarh,322,3,8
829816,Brabourne Stadium,5,1,by runs,Mumbai,32,5,8
829818,M Chinnaswamy Stadium,2,6,No Result,Bangalore,,,8
829820,"Rajiv Gandhi International Stadium, Uppal",11,7,by wickets,Hyderabad,403,7,8
829822,Wankhede Stadium,3,7,by runs,Mumbai,221,7,8
829824,Maharashtra Cricket Association Stadium,2,5,by runs,Pune,110,2,8
829826,JSCA International Stadium Complex,3,2,by wickets,Ranchi,73,3,8
829828,Eden Gardens,7,3,by runs,Kolkata,57,7,8
980906,Wankhede Stadium,7,12,by wickets,Mumbai,85,12,9
980908,Eden Gardens,1,6,by wickets,Kolkata,334,1,9
980910,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,13,by wickets,Chandigarh,254,13,9
980912,M Chinnaswamy Stadium,2,11,by runs,Bangalore,110,2,9
980914,Eden Gardens,1,7,by wickets,Kolkata,57,7,9
980916,Saurashtra Cricket Association Stadium,13,12,by wickets,Rajkot,254,13,9
980918,Feroz Shah Kotla,6,4,by wickets,Delhi,136,6,9
980920,"Rajiv Gandhi International Stadium, Uppal",11,1,by wickets,Hyderabad,40,1,9
980922,Wankhede Stadium,7,13,by wickets,Mumbai,254,13,9
980924,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,12,by wickets,Chandigarh,345,4,9
980926,M Chinnaswamy Stadium,2,6,by wickets,Bangalore,355,6,9
980928,"Rajiv Gandhi International Stadium, Uppal",11,7,by wickets,Hyderabad,187,11,9
980930,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,1,by wickets,Chandigarh,46,1,9
980932,Wankhede Stadium,7,2,by wickets,Mumbai,57,7,9
980934,Saurashtra Cricket Association Stadium,13,11,by wickets,Rajkot,299,11,9
980936,Maharashtra Cricket Association Stadium,12,2,by runs,Pune,110,2,9
980938,Feroz Shah Kotla,6,7,by runs,Delhi,351,6,9
980940,"Rajiv Gandhi International Stadium, Uppal",11,4,by wickets,Hyderabad,460,11,9
980942,Saurashtra Cricket Association Stadium,13,2,by wickets,Rajkot,8,13,9
980944,Maharashtra Cricket Association Stadium,12,1,by wickets,Pune,308,1,9
980946,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,7,by runs,Chandigarh,17,7,9
980948,"Rajiv Gandhi International Stadium, Uppal",11,12,by runs,Hyderabad,106,12,9
980950,Feroz Shah Kotla,6,13,by runs,Delhi,350,13,9
980952,Wankhede Stadium,7,1,by wickets,Mumbai,57,7,9
980954,Maharashtra Cricket Association Stadium,12,13,by wickets,Pune,147,13,9
980956,Feroz Shah Kotla,6,1,by runs,Delhi,408,6,9
980958,"Rajiv Gandhi International Stadium, Uppal",11,2,by runs,Hyderabad,187,11,9
980960,Saurashtra Cricket Association Stadium,13,4,by runs,Rajkot,374,4,9
980962,Maharashtra Cricket Association Stadium,12,7,by wickets,Pune,57,7,9
980964,M Chinnaswamy Stadium,2,1,by wickets,Bangalore,334,1,9
980966,Saurashtra Cricket Association Stadium,13,6,by wickets,Rajkot,420,6,9
980968,Eden Gardens,1,4,by runs,Kolkata,334,1,9
980970,Feroz Shah Kotla,6,12,by wickets,Delhi,85,12,9
980972,"Rajiv Gandhi International Stadium, Uppal",11,13,by wickets,Hyderabad,299,11,9
980974,M Chinnaswamy Stadium,2,12,by wickets,Bangalore,8,2,9
980976,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,6,by runs,Chandigarh,409,4,9
980978,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7,11,by runs,Visakhapatnam,73,11,9
980980,Eden Gardens,1,13,by wickets,Kolkata,14,13,9
980982,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,2,by runs,Chandigarh,32,2,9
980984,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,12,11,by runs,Visakhapatnam,430,11,9
980986,M Chinnaswamy Stadium,2,7,by wickets,Bangalore,413,7,9
980988,"Rajiv Gandhi International Stadium, Uppal",11,6,by wickets,Hyderabad,350,6,9
980990,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7,4,by wickets,Visakhapatnam,409,4,9
980992,M Chinnaswamy Stadium,2,13,by runs,Bangalore,110,2,9
980994,Eden Gardens,1,12,by wickets,Kolkata,31,1,9
980996,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,11,by wickets,Chandigarh,427,11,9
980998,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7,6,by runs,Visakhapatnam,413,7,9
981000,Eden Gardens,1,2,by wickets,Kolkata,8,2,9
981002,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,12,6,by runs,Visakhapatnam,106,12,9
981004,M Chinnaswamy Stadium,2,4,by runs,Bangalore,8,2,9
981006,Green Park,13,1,by wickets,Kanpur,147,13,9
981008,Shaheed Veer Narayan Singh International Stadium,6,11,by wickets,Raipur,339,6,9
981010,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,12,4,by wickets,Visakhapatnam,20,12,9
981012,Green Park,13,7,by wickets,Kanpur,21,13,9
981014,Eden Gardens,1,11,by runs,Kolkata,31,1,9
981016,Shaheed Veer Narayan Singh International Stadium,6,2,by wickets,Raipur,8,2,9
981018,M Chinnaswamy Stadium,13,2,by wickets,Bangalore,110,2,9
981020,Feroz Shah Kotla,11,1,by runs,Delhi,163,11,9
981022,Feroz Shah Kotla,13,11,by wickets,Delhi,187,11,9
981024,M Chinnaswamy Stadium,2,11,by runs,Bangalore,385,11,9
